1-B3BWVA||CMD M-2||P_1-1N4MW||2017-07-05T00:00:00||2017-07-08T08:00:43||INFRAS0001R||REC||||1-B3BWS2||1-670473216||1-3L-524||101502||apgo361-RGDATA-1||1||0||0||||||BILAN RESEAU HORS AEROGARE||1-2S-638||Planifiée||2017-07-05T15:03:37||
1-B36LUX||CMD M-2||P_1-1N4MW||2017-07-07T00:00:00||2017-07-08T08:00:43||INFRAS0001R||REC||||1-B36LRP||1-666806079||1-3L-524||101502||apgr1103-0-1||1||0||0||||||BILAN RESEAU HORS AEROGARE||1-2S-928||Planifiée||2017-07-07T10:21:21||
1-B36MB7||CMD M-2||P_1-1N4MW||2017-07-07T00:00:00||2017-07-08T08:00:43||INFRAS0001R||REC||||1-B36M7D||1-666806079||1-3L-524||101502||apgr6030-0-16-1||1||0||0||||||BILAN RESEAU HORS AEROGARE||1-2S-1640||Planifiée||2017-07-07T10:21:21||
1-B36MBN||CMD M-2||P_1-1N4MW||2017-07-07T00:00:00||2017-07-08T08:00:43||INFRAS0001R||REC||||1-B36M7G||1-666806079||1-3L-524||101502||apgr6030-0-18-1||1||0||0||||||BILAN RESEAU HORS AEROGARE||1-2S-1640||Planifiée||2017-07-07T10:21:22||
1-B12MCP||CMD M-2||P_1-1N4MW||2017-07-20T00:00:00||2017-07-21T08:00:44||INFRAS0001R||REC||||1-B12MCK||1-666929595||1-3L-524||101502||apgp-cdg2f-pen01||1||0||0||||||BILAN RESEAU T2F||1-2S-952||Planifiée||2017-07-20T11:01:57||
1-B12NAY||CMD M-2||P_1-1N4MW||2017-07-20T00:00:00||2017-07-21T08:00:44||INFRAS0001R||REC||||1-B12N7Q||1-666929595||1-3L-524||101502||apgp-cdg2f-pen03||1||0||0||||||BILAN RESEAU T2F||1-2S-952||Planifiée||2017-07-20T11:01:58||
1-3Q57Q3||CMD M-2||P_1-1N4MW||2015-12-30T00:00:00||2016-01-05T08:01:21||INFRAS0001R||REC||||1-3Q57KX||1-225266501||1-3L-524||007469||apgo400-2-41w-1||1||0||0||||||BILAN RÉSEAU POUR ORLY SUD||1-2S-656||Planifiée||2016-01-04T09:15:01||
1-3Q57QI||CMD M-2||P_1-1N4MW||2015-12-30T00:00:00||2016-01-05T08:01:21||INFRAS0001R||REC||||1-3Q57L9||1-225266501||1-3L-524||007469||apgo400-2-28w-1||1||0||0||||||BILAN RÉSEAU POUR ORLY SUD||1-2S-656||Planifiée||2016-01-04T09:15:14||
1-4KYTJ||CMD M-2||P_1-1N4MW||2012-01-03T00:00:00||2015-07-24T17:17:20||INFRAS0001R||REC||||1-4KYT9||1-7696433||1-3L-524||104386||APGO402-1-S30-1||1||0||0||||||||1-2S-658||Réalisée||2012-01-10T16:22:02||
1-4KRIG||CMD M-2||P_1-1N4MW||2012-01-03T00:00:00||2015-07-24T17:17:20||INFRAS0001R||REC||||1-4KRI6||1-7683181||1-3L-524||104386||APGO400-S1-28W-1||1||0||0||||||||1-2S-656||Réalisée||2012-01-10T16:21:03||
1-9HHAI||CMD M-2||P_1-1N4MW||2012-02-08T00:00:00||2015-07-24T17:17:20||INFRAS0001R||REC||||1-9HHA8||1-15863584||1-3L-524||104386||apgr1259-1-c-1||1||0||0||||||DEMANDE EN PJ||1-7E4UV||Réalisée||2012-02-28T14:09:46||
1-B3D0F5||CMD M-2||P_1-1N4MW||2017-07-05T00:00:00||2017-07-08T08:00:43||INFRAS0001R||REC||||1-B3D0BX||1-670745452||1-3L-524||104386||apgp-cdg1-w3-340||1||0||0||||||BILAN RÉSEAU POUR T1||1-2S-927||Planifiée||2017-07-05T15:58:13||
