MDV_M|CT_11M
MEX_F|CT_06
MHL_F|CT_12
MKD_F|CT_05
MKD_M|CT_05M
MLI_F|CT_10
MLI_M|CT_10M
MLT_F|CT_04
MLT_M|CT_04M
MMR_F|CT_12
MMR_M|CT_12M
MNG_F|CT_12
MNG_M|CT_12M
MNP_F|CT_10
MNP_M|CT_10M
MOZ_F|CT_11
MOZ_M|CT_11M
MRT_F|CT_09
MRT_M|CT_09M
MSR_F|CT_12
MSR_M|CT_12M
MTG_F|CT_05
MTG_M|CT_05M
MTQ_F|CT_03DOM
MTQ_M|CT_03DOMM
MUS_F|CT_11
MUS_M|CT_11M
MWI_F|CT_10
MWI_M|CT_10M
MYS_F|CT_08
MYS_M|CT_08M
MYT_F|CT_03DOM
MYT_M|CT_03DOMM
NAM_F|CT_10
NAM_M|CT_10M
NATIONAL|CT_NAT
NATMOBILE|CT_MOBILE
NCL_F|CT_09
NCL_M|CT_09M
NER_F|CT_08
NER_M|CT_08M
NFK_F|CT_12
NGA_F|CT_11
NGA_M|CT_11M
NIC_F|CT_11
NIC_M|CT_11M
NIU_F|CT_12
NLD_F|CT_EUR
NLD_M|CT_EURM
NOR_F|CT_01
NOR_M|CT_01M
NPL_F|CT_12
NRU_F|CT_11
NRU_M|CT_11M
NZL_F|CT_04
NZL_M|CT_04M
OMN_F|CT_11
OMN_M|CT_11M
ORY|CT_NAT
PAK_F|CT_11
PAK_M|CT_11M
PAN_F|CT_11
PAN_M|CT_11M
PER_F|CT_08
PER_M|CT_08M
PHL_F|CT_07
PHL_M|CT_07M
PLW_F|CT_12
PNG_F|CT_11
PNG_M|CT_11M
POL_F|CT_03
POL_M|CT_03M
PRI_F|CT_12
PRK_F|CT_12
PRT_A_F|CT_06
PRT_A_M|CT_06M
PRT_F|CT_EUR
PRT_M|CT_EURM
PRY_F|CT_11
PRY_M|CT_11M
PSE_F|CT_05
PSE_M|CT_05M
PYF_F|CT_09
PYF_M|CT_09M
QAT_F|CT_11
QAT_M|CT_11M
REU_F|CT_03DOM
REU_M|CT_03DOMM
ROU_F|CT_05
ROU_M|CT_05M
RUS_F|CT_04
RUS_M|CT_04M
RWA_F|CT_12
RWA_M|CT_12M
SAU_F|CT_11
SAU_M|CT_11M
SCG_M|CT_05M
SDN_F|CT_11
SDN_M|CT_11M
SEN_F|CT_10
SEN_M|CT_10M
SGP_F|CT_05
SGP_M|CT_05M
SHN_A_F|CT_12
SHN_F|CT_12
SLB_F|CT_12
SLB_M|CT_12M
SLE_F|CT_11
SLE_M|CT_11M
SLV_F|CT_11
SLV_M|CT_11M
SMR_F|CT_01
SOM_F|CT_12
SPM_F|CT_03DOM
SPM_M|CT_03DOMM
STP_F|CT_12
STP_M|CT_12M
SUR_F|CT_12
SUR_M|CT_12M
SVK_F|CT_03
SVK_M|CT_03M
SVN_F|CT_04
SVN_M|CT_04M
SWE_F|CT_01
SWE_M|CT_01M
SWZ_F|CT_10
SWZ_M|CT_10M
SYC_F|CT_12
SYC_M|CT_12M
SYR_F|CT_11
SYR_M|CT_11M
TCD_F|CT_10
TCD_M|CT_10M
TGO_F|CT_12
TGO_M|CT_12M
THA_F|CT_08
THA_M|CT_08M
TJK_F|CT_08
TJK_M|CT_08M
TKL_F|CT_12
TKM_F|CT_07
TKM_M|CT_07M
TON_F|CT_12
TON_M|CT_12M
TUN_F|CT_05
TUN_M|CT_05M
TUR_F|CT_04
TUR_M|CT_04M
TUV_F|CT_12
TWN_F|CT_05
TWN_M|CT_05M
TZA_F|CT_11
TZA_M|CT_11M
UGA_F|CT_11
UGA_M|CT_11M
UKR_F|CT_06
UKR_M|CT_06M
URY_F|CT_08
URY_M|CT_08M
USA_A_F|CT_12
USA_F|CT_02
USA_H_F|CT_12
UZB_F|CT_11
UZB_M|CT_11M
VEN_F|CT_06
VEN_M|CT_06M
VNM_F|CT_12
VNM_M|CT_12M
VUT_F|CT_11
VUT_M|CT_11M
WLF_F|CT_11
WSM_F|CT_11
WSM_M|CT_11M
YEM_F|CT_11
YEM_M|CT_11M
ZAF_F|CT_06
ZAF_M|CT_06M
ZGRAT|CT_GRAT
ZMB_F|CT_11
ZMB_M|CT_11M
ZPTF|CT_NAT
ZPTF|CT_TB
ZTETRA|CT_TETRA
ZTETRA|CT_TX
ZWE_F|CT_10
ZWE_M|CT_10M
